,ndcg_cut_5,ndcg_cut_10,ndcg_cut_20,ndcg_cut_50,ndcg_cut_100,map_cut_5,map_cut_10,map_cut_20,map_cut_50,map_cut_100,recall_5,recall_10,recall_20,recall_50,recall_100,P_5,P_10,P_20,P_50,P_100
bm25,9.5294774263484,10.17734962974644,11.091711891837384,12.4828650920309,13.626068227247337,7.772271825396821,8.036392479213903,8.265893320377671,8.449305025035148,8.545130086522036,9.51369047619047,11.14484126984127,13.615999278499283,18.27096320346321,22.83743145743145,3.7199999999999993,2.4600000000000053,1.6800000000000064,1.049999999999991,0.7119999999999934
embedding_by_baichuan,23.35537321175974,25.01500082366828,26.911887717696825,29.834631889426504,32.29030253705394,15.83744696969697,16.883965879028374,17.50274832675474,18.11970417970018,18.433266368166862,21.81373737373737,26.702193362193356,31.420093795093738,40.919036796536744,50.7816197691198,13.860000000000062,9.01999999999996,5.58499999999996,3.027999999999964,1.9169999999999907
embedding_by_baichuan_with_eval_ins,22.362200627561677,23.5429247924637,24.921087629944026,27.54083139929371,30.118289866531875,15.500876322751326,16.311418530543527,16.751803287994637,17.247709807854886,17.568071061274544,20.884722222222223,24.592911255411252,28.017359307359282,36.61391774891766,46.78587301587301,13.180000000000083,8.279999999999989,4.914999999999974,2.679999999999968,1.770999999999988
embedding_by_text-embedding-ada-002,14.178380851848937,17.47637207498586,19.937354311062197,22.476218206701734,24.297588012229646,9.139683742183736,10.503117468620449,11.214543025979431,11.68527670351907,11.897868980853248,16.128816738816745,23.60052669552668,29.82362914862911,38.03224386724378,45.4207864357864,8.880000000000061,7.390000000000012,4.999999999999968,2.687999999999965,1.6359999999999806
embedding_by_text-embedding-ada-002_with_eval_ins,12.953796367820406,16.33246009830349,18.732856818547297,21.111599353837526,22.79872053141695,7.8387159692159765,9.341287685528767,10.059571779249474,10.5149390032315,10.721973401314195,15.700007215007206,23.51370490620489,29.708268398268388,37.36769119769116,44.09023809523806,9.180000000000062,7.589999999999999,5.054999999999973,2.673999999999967,1.6149999999999818
embedding_by_text-embedding-3-large,22.29441166130566,24.18331307984859,26.625506009221418,30.00456355859635,32.84481485177875,15.334284090909083,16.13622154366797,16.852344068343903,17.559403648456946,17.955035664417537,22.512348484848456,27.117626262626235,33.41524891774882,44.38259379509376,55.80419552669549,12.68000000000012,8.139999999999981,5.3249999999999575,3.0439999999999583,1.9839999999999913
embedding_by_text-embedding-3-large_with_eval_ins,12.938694405997627,16.331562143318813,18.726241551905854,21.101345065775348,22.803310949647784,7.8337159692159775,9.340705674946756,10.05731515429548,10.513068013385688,10.722834828369388,15.675007215007206,23.51370490620489,29.691601731601722,37.33269119769116,44.10452380952376,9.160000000000062,7.589999999999999,5.049999999999972,2.669999999999967,1.615999999999982
embedding_by_e5-mistral-7b-instruct,14.733957100488354,16.701027243762937,18.62799856503023,21.448073230954265,23.815367058133972,9.584938311688317,10.270688907212728,10.72199015290064,11.20355677023442,11.473156952616636,15.989686147186154,20.63683261183259,25.512864357864334,34.54735930735924,43.708084415584345,8.04000000000006,5.57000000000005,3.8550000000000018,2.3279999999999683,1.577999999999979
embedding_by_Dmeta-embedding,9.33679615137009,11.141684641903016,12.770101006623063,15.452316271764397,17.62749459769429,6.123482383357391,6.793588156222094,7.152407358168807,7.583108627613024,7.812341127442864,10.918852813852808,15.328575036075046,19.51223304473305,28.538026695526657,37.29735930735929,5.280000000000019,4.090000000000026,2.925000000000023,1.8619999999999763,1.2829999999999837
embedding_by_acge-large-zh,7.325603654470377,8.639557731365125,10.020859463213228,11.669848297238312,13.205508586397006,5.419226190476199,5.907876653439162,6.195590040328497,6.431229103452771,6.556242362351813,7.864880952380952,11.25690476190476,15.401471861471867,21.057860750360746,27.343860028860004,3.419999999999996,2.5200000000000067,1.8350000000000108,1.139999999999988,0.81099999999999
