,ndcg_cut_5,ndcg_cut_10,ndcg_cut_20,ndcg_cut_50,ndcg_cut_100,map_cut_5,map_cut_10,map_cut_20,map_cut_50,map_cut_100,recall_5,recall_10,recall_20,recall_50,recall_100,P_5,P_10,P_20,P_50,P_100
bm25,2.410327791181357,2.9250477906787884,3.8302330039765997,5.0334165454157205,6.391458090585977,1.1851397907647903,1.4547416426166422,1.6618834773839188,1.8356790964247114,1.946695081646526,2.061994949494949,3.839693362193361,6.515209235209238,11.04588383838384,17.171760461760467,1.9399999999999984,1.4799999999999975,1.160000000000001,0.7319999999999959,0.5569999999999956
embedding_by_voyage-lite-02-instruct,10.22346190022036,12.80889143878876,14.744766480507442,16.98218168308208,18.946813788544812,5.7370745550745665,6.684813500652801,7.166278176616771,7.551226971897705,7.7774802546210235,12.859527417027422,19.252622655122646,24.57191197691195,31.658546176046134,39.36165584415579,7.400000000000047,5.670000000000048,3.7900000000000067,2.1339999999999733,1.4009999999999827
embedding_by_voyage-lite-02-instruct_with_eval_ins,12.036597353950928,14.346488034650928,16.230745916593744,18.194946600151386,20.2235843476334,6.764709956709969,7.669169896241334,8.171820790819922,8.515740188826003,8.752256593808873,14.197821067821078,20.329051226551215,25.557305194805174,31.813704906204862,39.668719336219255,8.820000000000066,6.200000000000056,3.994999999999996,2.137999999999972,1.425999999999982
embedding_by_text-embedding-ada-002,8.05453379856603,9.2885172884163,11.873911862185045,15.218803867384652,17.04530365272005,6.050202380952382,6.460377739984888,7.104136291278368,7.660599064761381,7.8567717656273945,10.023253968253963,12.755158730158731,19.21338023088024,29.989898989898958,37.216940836940786,3.7199999999999998,2.9000000000000115,2.9200000000000186,2.0579999999999763,1.330999999999984
embedding_by_text-embedding-ada-002_with_eval_ins,5.246619573612992,7.806351693961766,10.866965899621503,13.918777995285275,15.75298450542854,3.063836219336219,4.022534852493194,4.8236159669042,5.360526271471999,5.571167876358304,6.8280591630591685,12.965559163059169,21.180800865800872,31.17359668109667,38.42337301587295,3.639999999999999,3.7700000000000182,3.4550000000000134,2.1799999999999757,1.3969999999999834
embedding_by_text-embedding-3-large,19.189526907749958,20.088705067670972,21.049952504239037,22.624952801313317,24.466865271203933,13.763180555555554,14.17676034580498,14.402123228867657,14.637397847582415,14.80917375740673,18.684365079365083,21.133730158730142,23.635753968253944,28.64718614718611,36.012950937950855,9.60000000000008,5.700000000000049,3.3650000000000206,1.7939999999999765,1.1989999999999827
embedding_by_text-embedding-3-large_with_eval_ins,19.113202064394127,19.64970529303441,20.40578048857866,21.82703079256395,23.29889205429106,13.607460317460315,13.88520880574452,14.073084198505805,14.301214560014936,14.446924044606561,18.63662698412699,20.409999999999997,22.29662698412696,26.80928932178928,32.691439393939376,9.48000000000008,5.300000000000046,3.080000000000027,1.643999999999979,1.0659999999999858
embedding_by_e5-mistral-7b-instruct,16.95152071621794,18.457646818845497,20.211387306552083,22.163748401530682,24.23733519385529,12.019387806637804,12.678962761114546,13.156052039807113,13.514875009336851,13.732788613609024,16.432582972582978,20.03504689754689,24.320645743145736,30.510811688311676,38.72244588744585,8.480000000000059,5.690000000000043,3.8450000000000024,2.089999999999976,1.392999999999983
embedding_by_UAE-Large-V1,4.166076007407708,5.854990537695543,7.502958827707901,9.739254612259145,11.526756088792663,2.541833333333332,3.1180113378684813,3.480479045839022,3.80578670853147,3.979856185357404,6.395873015873021,10.598769841269837,15.24972222222223,22.549733044733046,29.497326839826805,2.5599999999999943,2.3700000000000054,1.9600000000000117,1.397999999999986,1.0079999999999891
embedding_by_bge-large-en-v1.5,7.5697583988328505,9.470332353835651,11.16829163938614,13.311415987256714,15.187328064079953,5.124523809523817,5.754484457671968,6.144147040913154,6.468710853587761,6.6467736581129655,10.014444444444441,14.327698412698423,18.7239357864358,25.667435064935052,33.0463744588744,4.220000000000002,3.610000000000019,2.6950000000000185,1.6619999999999815,1.1479999999999864
embedding_by_ember-v1,12.429971288603314,14.719046983855884,16.697777075835287,19.138056392577287,20.983221811377913,8.129535413660417,9.066551381158526,9.638705155088866,10.076440689703977,10.285494203640088,13.812467532467542,19.424650072150087,24.436598124098115,32.300140692640646,39.58804834054828,7.700000000000041,5.930000000000042,4.029999999999997,2.2759999999999736,1.4419999999999817
embedding_by_gte-large,13.432988191191534,14.66054463074725,16.610270801891335,19.03995120630462,21.142637594752504,9.658507094757088,10.218129595272442,10.697849916527769,11.135311704393935,11.367708337871548,13.35194805194806,16.586158008658025,21.73775252525253,29.647002164502133,37.772972582972514,6.860000000000031,4.760000000000032,3.4000000000000155,2.0199999999999774,1.3689999999999838
embedding_by_stella-base-en-v2,8.167590529293253,9.348825154999318,10.790753257369667,13.6075776857475,15.874126980092186,6.281653318903325,6.675223446196668,6.989115521488214,7.406547036379851,7.626023013323685,9.546114718614715,12.286277056277056,16.039927849927857,25.18620851370849,34.163676046175986,3.6199999999999957,2.7100000000000084,2.1150000000000113,1.6259999999999832,1.1909999999999858
embedding_by_e5-large-v2,6.605049307847273,7.374612544560665,8.452111583370145,10.531483554787139,12.939212290524978,4.9078391654641695,5.225344075677413,5.463042495039913,5.744259454707278,5.941539389157234,7.804844877344875,9.824451659451652,12.774491341991338,19.60006493506494,29.273362193362157,2.9399999999999933,1.9600000000000004,1.5050000000000057,1.1639999999999893,0.9709999999999882
embedding_by_instructor-xl,16.11757703327123,17.48800447389534,19.13342722287054,21.55711612561286,23.839599693313357,11.660841269841262,12.159072493643908,12.595940388107747,13.02049325462065,13.26348522527181,16.56718253968255,19.717543290043288,23.932463924963912,31.694531024531006,40.69363275613268,8.30000000000006,5.4800000000000475,3.615000000000008,2.1219999999999732,1.4449999999999814
embedding_by_gte-large_manual_1K_no_ins_en_tuning,10.547746401199179,12.098325229037316,13.774083035041688,16.10225140942107,17.552401718274755,6.067530182780194,6.753347643097655,7.133407111379336,7.538722462194386,7.6965714996085595,10.886118326118334,15.422705627705621,20.241594516594514,27.929062049062033,33.653596681096644,7.14000000000004,4.890000000000036,3.2200000000000264,1.9039999999999782,1.2009999999999856
embedding_by_bge-large-en-v1.5_manual_1K_no_ins_en_tuning,6.125746533687862,7.776583965918476,9.835313330404954,12.086638778815917,14.612200671964672,3.417826298701301,4.052326267207227,4.555399032641256,4.901742045692042,5.187719529603111,6.95131313131314,11.097027417027427,17.12556277056277,24.87814935064936,34.83593795093795,4.340000000000008,3.5100000000000176,2.6550000000000185,1.627999999999984,1.2409999999999863
embedding_by_stella-base-en-v2_manual_1K_no_ins_en_tuning,11.043730651513755,13.362285866644603,15.95042477455303,18.72358031366238,20.29209968963238,6.8299482924482975,7.843451244302439,8.654893413539682,9.25376125808085,9.46057125170688,12.128932178932185,17.690681818181822,24.42465728715728,33.440295815295805,39.54446969696971,7.120000000000037,5.650000000000038,4.169999999999993,2.4219999999999753,1.4769999999999845
embedding_by_llama-2-7b-chat-hf_checkpoint-none,3.7011266995231065,4.469100909518753,5.2561282105078275,5.8825666677938,6.380987924242908,2.622761904761905,2.8700667989418007,3.062313218703425,3.146135153553279,3.1819213088438323,5.352619047619051,7.239642857142856,9.799999999999995,12.205595238095237,14.161547619047624,1.7999999999999974,1.3799999999999968,0.9500000000000002,0.5099999999999982,0.34099999999999797
embedding_by_llama-2-7b-chat-hf_manual_1K_ins_en_0.2_2_1e-4_16_prompt0_summary-of-above_checkpoint-final,28.411258472256133,29.30062546852858,30.383506708390406,32.66953450327508,35.09935190046781,19.456622715247736,20.160411749295708,20.48214674081375,20.943835420562095,21.267850703253515,25.238935786435782,28.642907647907624,31.31775974025969,38.60935786435782,48.03511904761904,15.879999999999983,9.449999999999957,5.36999999999996,2.7999999999999625,1.8129999999999902
embedding_by_llama-2-7b-chat-hf_manual_1K_ins_en_0.0_2_1e-4_16_prompt0_summary-of-above_checkpoint-final,27.05541198003645,28.20459929500317,29.44343909288958,31.38473919409508,33.641991841809215,18.835991702741723,19.662294705845326,20.015093156350517,20.409657470597274,20.68620866547201,23.79139249639249,27.625721500721493,30.743430735930705,36.71371933621928,45.62857503607495,14.760000000000016,9.099999999999966,5.224999999999962,2.6479999999999655,1.7049999999999847
embedding_by_llama-2-7b-chat-hf_manual_1K_no_ins_en_0.2_2_1e-4_16_prompt0_summary-of-above_checkpoint-final,19.727673612488573,23.069889628288358,25.804541912547087,28.38426395448526,30.29932517030202,14.006944324194322,15.29141960277378,16.033827580448566,16.544057157827936,16.800586222668972,19.15353535353535,26.557352092352065,33.6439430014429,42.11518398268392,49.495396825396845,10.640000000000091,8.369999999999978,5.58499999999995,2.9279999999999577,1.7979999999999885
embedding_by_llama-2-7b-chat-hf_manual_1K_single_ins_en_0.2_2_1e-4_16_prompt0_summary-of-above_checkpoint-final,27.8650049352878,29.662730746136024,32.15168984115048,35.60109519998838,37.120709110105516,18.63418819143818,19.73290744033302,20.654670242517128,21.51271905721039,21.728797147765675,26.54588023088022,31.781208513708435,37.930696248196185,48.7963059163059,54.71004689754693,16.899999999999945,10.609999999999907,6.689999999999939,3.645999999999981,2.0769999999999973
