,ndcg_cut_5,ndcg_cut_10,ndcg_cut_20,ndcg_cut_50,ndcg_cut_100,map_cut_5,map_cut_10,map_cut_20,map_cut_50,map_cut_100,recall_5,recall_10,recall_20,recall_50,recall_100,P_5,P_10,P_20,P_50,P_100
bm25,20.64625411251643,18.746264164867544,20.867043611263156,25.264451624163197,29.078267400067848,8.82076034059393,10.360078297564476,11.661233569801835,12.96573988957757,13.565401459855405,12.06130459176677,16.461894480525608,22.8413406936621,33.60013006616745,45.67453284189009,16.39097744360901,11.954887218045105,9.06015037593985,5.714285714285708,3.9398496240601477
embedding_by_baichuan,17.632954692481764,16.048586891252317,17.474499145959978,22.820191989354107,29.055146921446585,6.151546253188224,7.225917377905732,8.201110280182526,9.491919750904279,10.6271179541301,9.180581200705035,13.556082286726612,18.720179059490953,32.681667129591325,51.35397719483999,14.285714285714276,10.827067669172925,8.157894736842112,5.789473684210522,4.654135338345862
embedding_by_baichuan_with_eval_ins,20.831712331902995,19.8112419925842,21.532013211311316,26.137999737322172,30.607668482265915,7.489549660098903,9.287009722246417,10.322170099375082,11.454924761398935,12.299740028717697,11.831726356156622,19.18566587990922,25.72777076466058,37.06574146521248,50.05167495489374,18.04511278195487,13.834586466165412,9.661654135338347,6.10526315789473,4.34586466165413
embedding_by_text-embedding-ada-002,36.618601840075755,34.689373354296585,38.36107226388076,45.98099692472986,49.92102146019037,17.290597148208487,20.71040177464795,23.75740375484331,26.76759989267467,27.86718383294237,21.635337514184204,30.34895584769884,41.6195749625939,61.0450099067967,72.01859764012922,29.624060150375943,23.45864661654136,17.556390977443613,10.52631578947368,6.443609022556388
embedding_by_text-embedding-ada-002_with_eval_ins,34.020129303441706,31.998592227466975,36.30261995323561,43.31570725054397,48.23569411050269,15.512416841584637,18.721946522655315,21.941746722344902,24.610693496791782,25.87337930592266,19.39287902073639,28.313218732921246,40.54911955774698,57.61749070257473,72.57186068191035,27.669172932330824,21.50375939849624,16.691729323308273,10.180451127819538,6.4736842105263115
embedding_by_text-embedding-3-large,46.96164978381023,42.81431822894563,46.40138591352073,53.64333062770583,57.61865547251496,22.549937350754707,27.100906954077377,31.13054721477198,34.50884161720207,35.683796321038386,27.434864735852322,37.02656567731407,49.48709436928728,67.24022206303565,78.87000185173731,40.0,29.39849624060151,20.93984962406014,11.984962406015029,7.165413533834585
embedding_by_text-embedding-3-large_with_eval_ins,46.375983591358015,43.2660124690769,46.76183546508874,54.5166609925492,58.6808829075569,22.28044741686673,27.581413935837272,31.62242643963925,35.23837878757368,36.51866893055135,27.01409794428721,37.93903704932243,50.137111501194106,68.6767252268282,80.93813217872497,38.49624060150376,29.849624060150372,21.05263157894737,12.345864661654131,7.360902255639099
embedding_by_e5-mistral-7b-instruct,42.667465854174054,40.346202751137454,43.588432603743534,51.504098262110645,56.25724889184972,20.90565773421229,24.96719316137172,28.343745102497714,31.876014567691232,33.28189114059894,25.80639469142169,35.80471558833193,47.09083199300033,65.71715729179532,79.18918708479977,34.4360902255639,26.616541353383457,19.022556390977456,11.578947368421044,7.210526315789471
embedding_by_Dmeta-embedding,43.07679993387377,40.66677205779979,43.64991310305764,50.60231705874985,54.32392304116263,20.454465862456615,24.98960674886786,28.365361809776633,31.36632533267474,32.42401138922464,24.85914484700828,34.11411896342005,45.59193921581313,63.15483514658014,73.38282631980397,34.43609022556393,27.518796992481214,19.13533834586465,10.94736842105263,6.631578947368418
embedding_by_acge-large-zh,36.92235762706058,35.054865840895644,37.6825702836152,43.36108219348107,47.614166909317255,16.270175647910822,20.231611237056335,22.88692224482153,25.177062425183074,26.268038620613247,22.61002359541083,32.454500940423564,42.49059188178175,56.18413928569832,67.93513347070225,31.127819548872186,24.661654135338342,16.992481203007518,9.684210526315784,6.1428571428571415
embedding_by_gte-large-zh,43.98482721275033,40.34494496169171,43.55451458814129,50.72733882876907,54.74946239735736,21.152661254393426,25.17656121421169,28.546487750255142,31.672847161350532,32.791481010498636,25.291398990231013,35.157452849350946,46.4191131575993,63.656552479517394,75.26519253007879,35.78947368421055,26.240601503759407,18.721804511278197,11.06766917293232,6.714285714285712
embedding_by_bge-large-zh-v1.5,39.96663476825677,38.28853403185334,41.15019274218694,47.15686445777908,50.908992290784994,17.957727271151136,22.475296052624845,25.5738245824013,28.26183107826672,29.26061391056395,23.765919854501412,35.08710188580532,45.46517623508473,59.42217118850069,70.4899470994643,32.781954887218035,26.015037593984978,18.684210526315795,10.616541353383454,6.375939849624059
embedding_by_gte-large-zh_manual_1K_no_ins_tuning,48.16587529488947,43.93439512459111,47.46480094547731,54.32881236693016,57.701147102711275,22.291618922233297,27.16649235096003,31.61882755105736,34.94472732556523,35.93694244050197,29.280547263362283,38.741376837945666,51.88837030947821,68.9110323636005,78.47413969139042,41.80451127819549,31.203007518796994,21.95488721804512,12.150375939849614,7.097744360902254
embedding_by_bge-large-zh-v1.5_manual_1K_no_ins_tuning,31.866778319288013,29.691718754409145,32.15775756690038,38.20935122192764,42.137966989971126,14.770277026797773,18.324782468824015,20.56640580473727,22.71664827178745,23.644282930676546,18.418420879383653,26.11769245468819,34.0267567106006,49.54686254752307,61.433277499378285,26.466165413533826,21.05263157894737,14.774436090225565,8.616541353383452,5.428571428571425
