,ndcg_cut_5,ndcg_cut_10,ndcg_cut_20,ndcg_cut_50,ndcg_cut_100,map_cut_5,map_cut_10,map_cut_20,map_cut_50,map_cut_100,recall_5,recall_10,recall_20,recall_50,recall_100,P_5,P_10,P_20,P_50,P_100
bm25,24.4858821797481,21.96842267566787,24.852842095160423,28.779504211480802,32.019039884613846,9.341749643269692,11.12174657860619,13.121972573409543,14.250922641371483,14.894895051065133,13.735053006215622,18.904010218400096,28.604052039621415,38.75812146075072,48.671410957631544,21.65413533834585,16.01503759398496,11.691729323308277,6.601503759398487,4.1879699248120295
embedding_by_voyage-lite-02-instruct,40.10060046815565,38.03301305373798,40.952145609816576,48.47832304455797,52.39798979212422,17.7999146615429,22.633199338003894,25.597832742826473,28.714821158134153,29.828205106804106,24.97977013998104,35.1724529553797,46.152555066993834,64.88130966732363,75.67558122113046,33.834586466165426,27.142857142857142,18.458646616541355,10.947368421052621,6.691729323308268
embedding_by_voyage-lite-02-instruct_with_eval_ins,43.383673019721854,41.37207321564972,44.60855289527144,51.62193605576655,55.58208304802717,20.27030589396887,25.493155841306297,29.11261300538361,32.14649080577365,33.338399088637665,26.03871960454691,37.233948804906014,49.010056191406434,66.07332233915716,76.85856131868319,35.78947368421053,28.872180451127814,19.73684210526316,11.323308270676685,6.879699248120298
embedding_by_text-embedding-ada-002,40.56852691938061,38.68203207120084,42.50009907286743,49.122443588198784,54.12580736013513,19.623184017379643,23.737429329635685,27.363836868046395,30.199414900413828,31.619401579100906,23.593620322041605,34.85753186364528,46.539425767142895,62.48197631014383,77.02841902440356,32.781954887218056,25.939849624060162,19.02255639097744,10.917293233082702,6.93984962406015
embedding_by_text-embedding-ada-002_with_eval_ins,38.84101396511986,35.64865913413102,38.972620792647014,44.8894991855616,49.189683241136926,18.553244415288024,21.986093308981328,24.885980355234153,27.14731409962857,28.236939558659344,22.789214123684197,31.286664859010006,42.36711308993313,56.9967053916983,69.57757097893037,32.03007518796994,23.383458646616546,16.992481203007525,9.7593984962406,6.142857142857136
embedding_by_text-embedding-3-large,46.43358126924992,44.33623077431694,48.01241269419973,54.68643187938164,58.24850128609885,22.714254394653164,27.985914750181333,32.236849873212414,35.41280075218466,36.49675434751921,27.700493178565306,39.206181174598754,51.49778406962292,67.52025603647498,77.39978101443394,36.99248120300754,29.92481203007519,21.466165413533837,11.909774436090213,7.067669172932331
embedding_by_text-embedding-3-large_with_eval_ins,46.04503947748899,42.445094239846036,45.99586548732811,53.52338978235772,57.25935272659452,22.918205990217977,27.379466620524198,31.003850347806825,34.51215953655591,35.644057123502506,27.23434964614054,36.28070881575679,48.7878452112431,66.64805762104928,77.43799621851076,37.74436090225564,28.34586466165414,19.999999999999993,11.789473684210519,6.999999999999995
embedding_by_e5-mistral-7b-instruct,42.53691473401894,39.14891281472206,42.661388728341166,49.86877666758281,53.95390899174223,19.62452360051525,23.201366012951432,26.663384517649142,29.726642418528833,30.899803515686514,25.56497683015118,34.26310856784972,45.93163117225015,63.17695179660946,74.85061732206972,34.135338345864675,25.714285714285708,18.571428571428577,11.022556390977433,6.729323308270676
embedding_by_UAE-Large-V1,43.833216613158335,42.08805651433802,46.23201864817766,53.119088021545174,56.74058792620154,21.85935460473247,26.774154513088032,30.575860640277817,33.89715699909481,34.968874106378934,26.23181246780201,37.504752914603024,50.67265416036045,67.36455260161001,77.22667640366491,34.88721804511278,28.34586466165415,20.375939849624054,11.53383458646616,6.917293233082705
embedding_by_bge-large-en-v1.5,40.761517586830685,39.30625331605404,43.21486877388253,49.680253309854415,53.71610214965494,19.742974642725866,24.190297116230028,27.674477134219327,30.51755069162375,31.70035856342963,24.77133455807597,35.7971525698399,48.034579455955075,64.12010034498917,75.29068875256229,32.78195488721804,26.69172932330827,19.3984962406015,10.917293233082702,6.6992481203007515
embedding_by_ember-v1,40.27672029059956,39.04871996759609,43.27103331532813,49.893419906045644,53.9399417536684,19.35064212660293,23.790722759612798,27.557380948598315,30.422233132780956,31.607738193621273,23.495897589029983,35.46916796924945,47.93889231980495,64.31621434838453,75.45860945189084,32.03007518796992,25.86466165413534,19.248120300751882,10.947368421052625,6.721804511278192
embedding_by_gte-large,43.14629932889582,42.13682947198589,45.90996391125442,52.515230697735966,56.31089347343422,21.032952591172354,26.155320756402556,29.99639602303939,33.07251109786854,34.21134669270018,27.223947421403135,39.29524093600016,51.52151098705369,67.23379299805076,77.72014738263952,35.48872180451129,29.17293233082707,20.639097744360907,11.578947368421044,6.962406015037594
embedding_by_stella-base-en-v2,40.952139272566434,39.10106280901217,43.185711523408536,49.811476465226306,53.69672688454153,19.53148829432249,23.88708066072047,27.527456476304952,30.529945495543387,31.600459071231963,25.354143248967386,35.115476711964064,48.070188389556854,63.81218417927834,75.06105178448573,33.233082706766915,26.54135338345865,19.36090225563909,11.067669172932325,6.691729323308268
embedding_by_e5-large-v2,37.72916268039573,34.708179946692105,38.870577482375744,45.278067235631916,49.0727919819674,17.422211776525636,20.990580125074278,24.269637677022754,26.740374408215622,27.753615542135822,22.06348254002412,29.794306940114588,42.933046643293615,58.605383103011654,69.1227956285278,30.37593984962407,22.857142857142865,17.067669172932323,9.99999999999999,6.172932330827066
embedding_by_instructor-xl,40.48952731810679,37.2994512328569,42.189578201228386,49.252238910857045,53.72439865732237,18.251654321488367,22.246390649562674,26.221894257663916,29.385245142228086,30.68179307177951,22.162528851624852,32.143310413227674,47.25014344792214,64.67997934569547,76.99174534828876,33.2330827067669,25.263157894736832,19.473684210526322,11.203007518796987,6.954887218045116
embedding_by_gte-large_manual_1K_no_ins_en_tuning,44.90976070727622,42.57464248702319,45.30506698981146,53.37660732729093,56.95310735796597,20.512278054039097,25.851128766073135,29.415895060650502,33.16395916223821,34.292250587358694,25.769629523028108,37.98815010025991,49.426192167457074,69.24193094351558,79.33663778840864,38.646616541353396,30.827067669172934,20.827067669172926,12.210526315789467,7.225563909774436
embedding_by_bge-large-en-v1.5_manual_1K_no_ins_en_tuning,42.5408836458845,40.88169441713573,43.78491492777015,52.23829502091421,56.33216717164121,18.349435775823448,24.63361775306112,28.375783977234953,32.373084778309,33.59369273067811,23.836516139235002,37.65436456272195,49.04151829455026,69.87017887532622,81.67129135939804,38.0451127819549,30.67669172932333,20.86466165413535,12.406015037593976,7.421052631578943
embedding_by_stella-base-en-v2_manual_1K_no_ins_en_tuning,49.33317474625987,46.67613745090224,50.67401167225125,58.13245877893762,61.777316785839204,23.216181050795157,29.77659451799609,34.6294737788089,38.49697817015186,39.58540369034473,28.84019620736607,42.02041920959671,55.96559176298872,73.91463108014058,84.70027337720948,42.25563909774435,33.308270676691734,23.496240601503768,13.203007518796994,7.6691729323308255
embedding_by_llama-2-7b-chat-hf_checkpoint-none,30.60519091710341,28.07558680570869,30.10254798723514,34.657966454606466,38.72044572304127,14.543456914267596,16.368287452686552,18.020716111106196,19.438559885091873,20.369667635129783,17.967454585421713,23.96453145858101,31.505462764692503,42.44260595682009,54.25437136092645,23.308270676691716,17.29323308270677,12.556390977443614,7.398496240601502,4.924812030075184
embedding_by_llama-2-7b-chat-hf_manual_1K_ins_en_0.2_2_1e-4_16_prompt0_summary-of-above_checkpoint-final,50.805319815201166,48.249436084805026,53.421086352992575,61.36509594401594,65.56036819859084,24.02685850225947,31.144179283890637,37.41646577202228,41.61559412853599,43.02101790752944,30.17884473491856,43.181609961007176,59.020417388943166,78.26490834761218,90.28117084477216,43.45864661654136,34.58646616541351,25.563909774436084,14.150375939849628,8.360902255639099
embedding_by_llama-2-7b-chat-hf_manual_1K_ins_en_0.0_2_1e-4_16_prompt0_summary-of-above_checkpoint-final,48.599967572199304,46.36395885812099,51.88265098018157,60.11307538602107,63.82431709707105,21.920403686552813,29.06311819770868,35.36721391724952,39.718700892330325,40.99121915775672,29.37921242113902,42.57108425313575,59.77138519659584,79.43185658316945,90.1128401153512,42.255639097744364,34.43609022556391,25.48872180451128,14.375939849624064,8.330827067669171
embedding_by_llama-2-7b-chat-hf_manual_1K_no_ins_en_0.2_2_1e-4_16_prompt0_summary-of-above_checkpoint-final,26.666351628079294,24.632290450200102,27.138050612424056,32.58977412883679,36.76247456254246,10.293249256576932,12.952078749242535,14.78467990937048,16.600048799983348,17.496214896397298,15.439152517253143,22.96101676986648,32.154080079558454,45.371720746295935,57.77007258003963,23.609022556390954,17.969924812030072,12.744360902255641,7.83458646616541,5.090225563909771
embedding_by_llama-2-7b-chat-hf_manual_1K_single_ins_en_0.2_2_1e-4_16_prompt0_summary-of-above_checkpoint-final,42.008351649296856,40.01568126304865,43.92482758652912,51.96780295491317,55.97641523952124,19.53581845856312,24.548798972986702,28.492235735156783,32.30500607616859,33.55578378267244,24.904841488022544,35.743753793286494,48.95616239315464,68.50897260414472,79.89919993302578,35.93984962406019,28.646616541353385,20.82706766917293,12.225563909774426,7.300751879699248
