,ndcg_cut_5,ndcg_cut_10,ndcg_cut_20,ndcg_cut_50,ndcg_cut_100,map_cut_5,map_cut_10,map_cut_20,map_cut_50,map_cut_100,recall_5,recall_10,recall_20,recall_50,recall_100,P_5,P_10,P_20,P_50,P_100
bm25,21.61479628167458,23.660318353093764,26.3480606841076,30.13166620704959,32.489043695264506,16.02990059039376,17.36990917897195,18.423565866438743,19.351158842544613,19.724133925052662,24.137618124340207,30.83612482474866,40.03992527211529,54.75978940489175,65.42525473266294,10.44000000000006,7.350000000000015,5.154999999999978,3.0519999999999716,1.909999999999999
embedding_by_baichuan,23.27638256412731,26.556242419735213,30.51798910555598,35.32414497689665,38.157020652623665,16.784939539796103,18.760116036026307,20.397461523184248,21.679540510335066,22.182766178989276,28.240793376319054,38.08494587978537,51.13951729332954,69.3356942087291,81.8662009004194,11.780000000000078,8.719999999999978,6.394999999999956,3.791999999999996,2.372000000000015
embedding_by_baichuan_with_eval_ins,10.60696491386355,11.96939004510584,14.133371953833052,17.612453796372826,20.578272545912345,6.9217403991403685,7.8242047409348725,8.58958300085675,9.320726579593972,9.686659210831259,11.367076264842792,16.13172055608012,23.73709643091774,37.921117074338106,52.25977792691712,5.9200000000000195,4.540000000000022,3.340000000000013,2.111999999999982,1.4749999999999872
embedding_by_text-embedding-ada-002,43.410158138807134,47.30737642137188,51.31680982093581,55.01813177882379,56.64580391231609,33.98923833058204,37.2070847516582,39.41194441784082,40.770965504111494,41.1326833662111,48.106518606814525,60.4684095991412,73.86673413714902,87.25704256456204,94.35121530693971,20.999999999999876,14.709999999999864,9.73999999999991,5.01800000000004,2.8030000000000252
embedding_by_text-embedding-ada-002_with_eval_ins,39.395109163229286,43.03092650516061,46.70821317126727,50.638118235752195,52.6218317784207,30.476424034370048,33.41325761450007,35.36301855546205,36.666446108140576,37.073994392725766,43.956283845601504,55.6818262094231,67.96798379361675,82.61190011876315,91.3228687094716,19.57999999999991,13.709999999999884,9.064999999999909,4.752000000000028,2.719000000000024
embedding_by_text-embedding-3-large,41.743133404277664,45.8347741161145,49.60778323096768,53.03726459602243,54.88086327871665,32.608603190044306,35.70377843108694,37.710895023395054,38.95379265598943,39.32701715920432,47.3183194772404,60.74088655900049,73.0174183935432,85.23627986541852,93.4288543057123,20.53999999999987,14.149999999999878,9.469999999999908,4.86400000000003,2.7540000000000258
embedding_by_text-embedding-3-large_with_eval_ins,39.36811462804264,43.02433546588191,46.70676640553777,50.63011274648826,52.61609326537333,30.44850736770338,33.40185880497627,35.35556143529954,36.65449844586626,37.06358743487517,43.91461717893483,55.6818262094231,67.97567610130906,82.60819641505944,91.3228687094716,19.55999999999991,13.709999999999884,9.06999999999991,4.750000000000028,2.719000000000024
embedding_by_e5-mistral-7b-instruct,32.44124261655366,37.06963648295307,41.175611445308206,45.113105471622355,47.036202900102566,24.31884730465743,27.307884661039196,29.31034079671408,30.615826869582808,31.009847899884193,37.41867313175583,51.31241982884459,64.87070192517713,79.59848417592987,87.92814009702829,16.43999999999999,12.279999999999934,8.469999999999919,4.5360000000000165,2.6050000000000217
embedding_by_Dmeta-embedding,27.74224898473017,31.696315944676552,35.799016045487654,40.28619613429256,42.89689357448995,21.12229938343876,23.58123178531988,25.20773012111307,26.489583401595045,27.00308747975425,32.35783505725801,44.234098475186535,57.784938873733495,74.45819741811323,85.66309285423844,13.60000000000007,10.029999999999962,7.114999999999946,4.082000000000007,2.5220000000000193
embedding_by_acge-large-zh,30.864540821057908,34.841770065912335,38.41421524600609,42.68981738007177,44.93610946085134,23.765272469731443,26.226255089124486,27.849201274745166,29.087320779134025,29.48435956953901,35.582043168309696,47.27947257575916,59.46621641512282,75.7128722357674,85.71604027877125,14.660000000000036,10.82999999999993,7.404999999999927,4.118000000000006,2.437000000000014
