,ndcg_cut_5,ndcg_cut_10,ndcg_cut_20,ndcg_cut_50,ndcg_cut_100,map_cut_5,map_cut_10,map_cut_20,map_cut_50,map_cut_100,recall_5,recall_10,recall_20,recall_50,recall_100,P_5,P_10,P_20,P_50,P_100
bm25,32.759536683056304,36.31606899340274,39.33175294278835,42.65436402961132,44.729595569509264,24.66588688275093,27.268814171696075,28.746846552541705,29.81160115156439,30.17712705057053,36.84890158772478,48.36178038173781,58.862318551273596,71.02018532818265,80.281652362441,16.519999999999975,11.719999999999912,7.654999999999929,4.072000000000005,2.3770000000000118
embedding_by_voyage-lite-02-instruct,39.49370979851434,43.94297777006433,47.4979762726107,51.522769025643576,53.344268410247174,30.767665867368063,34.04879545420933,35.9278076125565,37.30760104742703,37.68452822965103,43.49135836341337,57.22642313547937,68.89467838279407,83.75449744502124,91.73537885666609,18.97999999999992,13.7199999999999,9.064999999999912,4.782000000000027,2.7020000000000244
embedding_by_voyage-lite-02-instruct_with_eval_ins,33.53517547167387,36.98605684612319,40.02739356282822,43.99644019144716,46.109444048000775,25.67023169835313,28.227992087844903,29.768366356304746,30.987646951625813,31.38148001793089,36.090486524905636,47.09882799702634,57.389532801639405,72.30852043301181,81.92929223308796,16.65999999999998,11.859999999999928,7.804999999999932,4.2320000000000135,2.469000000000018
embedding_by_text-embedding-ada-002,42.924413133018135,46.67820836268092,50.3024202128886,54.1936068551225,55.89664889832437,33.643383009069375,36.72406895719457,38.67721694799637,40.033048624631434,40.412820411837366,46.6422160545381,59.06044520895621,71.16147029972905,85.47578483286766,92.64882289305937,20.599999999999877,14.169999999999886,9.3199999999999,4.86800000000003,2.7560000000000247
embedding_by_text-embedding-ada-002_with_eval_ins,34.09066432785203,36.899981892567745,39.92817934039629,43.72829581193176,45.947305391051685,26.16592851161846,28.438569137444016,29.894007393581422,31.059566352468618,31.46600067638338,36.52655392551695,45.786919354996,55.7525718099008,70.00524406460659,79.98162954992935,16.439999999999973,11.389999999999938,7.519999999999938,4.064000000000006,2.3960000000000146
embedding_by_text-embedding-3-large,45.28245430658203,49.2977770885366,52.97907786492759,56.861924598140966,58.272896842823386,35.976773106252644,39.26038875384884,41.347053872214815,42.72543976267302,43.05797725668114,49.87460605342807,62.75833398659172,74.7004424199291,89.17142677870926,95.0361214612523,21.69999999999987,15.079999999999872,9.874999999999904,5.090000000000038,2.816000000000027
embedding_by_text-embedding-3-large_with_eval_ins,32.65371906577216,34.97112450290924,37.419535983850196,39.96115937931885,41.41391025984439,24.68282516480222,26.6405459714784,27.751364022516753,28.51327118170259,28.762714830960743,34.814581661951145,42.87115830321727,51.6025865889173,61.034451413469,67.60630447625795,16.099999999999977,11.009999999999948,6.994999999999955,3.571999999999987,2.016000000000002
embedding_by_e5-mistral-7b-instruct,38.22542207718968,41.778385371745046,45.67417146284244,49.77120495332844,51.63104165909082,29.802310319132157,32.53971275394061,34.55370665108106,35.893928309517506,36.263275633549725,40.63880153088092,52.32431565171305,65.23422373220853,80.95741786775169,89.36460973891394,18.55999999999993,12.99999999999992,8.829999999999918,4.696000000000021,2.65600000000002
embedding_by_UAE-Large-V1,42.55379669318542,46.59555223326617,50.19765119883576,53.78922520681279,55.283950886164234,33.23650979302859,36.41019755181307,38.31362466886467,39.58541508580805,39.9179159337525,48.235289253670125,60.95682444432243,72.71574408373351,85.61133428592193,92.06444270467671,20.77999999999989,14.439999999999877,9.354999999999908,4.842000000000028,2.700000000000025
embedding_by_bge-large-en-v1.5,39.54207850900218,43.60751883434356,47.655651096395495,51.132647942202716,52.985461451258516,30.785903283095344,33.84004391339246,35.79965606955515,36.9122420908915,37.29713260188843,43.85224655534599,56.55681813805174,70.01382818494535,82.81025418743079,90.64369735686844,18.91999999999993,13.349999999999895,8.859999999999909,4.528000000000018,2.6100000000000203
