,ndcg_cut_5,ndcg_cut_10,ndcg_cut_20,ndcg_cut_50,ndcg_cut_100,map_cut_5,map_cut_10,map_cut_20,map_cut_50,map_cut_100,recall_5,recall_10,recall_20,recall_50,recall_100,P_5,P_10,P_20,P_50,P_100
bm25,3.9263975419077104,5.465414073944532,7.105291742127181,9.251574083308576,11.2162161376048,2.790370370370371,3.400077601410936,3.8523179348744407,4.200222479579169,4.385680887098894,5.064444444444444,9.251111111111111,14.791111111111109,23.668888888888894,34.03555555555555,2.026666666666665,1.7199999999999975,1.3733333333333333,0.9173333333333288,0.6466666666666622
embedding_by_baichuan,8.479612072395637,10.324017830183989,12.597359508410543,16.003613425667517,18.05489472368029,6.016777777777781,6.728742504409174,7.335277776326805,7.918046998464199,8.122564607874777,11.095555555555555,15.982222222222216,23.633333333333344,38.30444444444446,49.06000000000001,4.053333333333324,2.9333333333333362,2.180000000000008,1.4106666666666536,0.9053333333333239
embedding_by_baichuan_with_eval_ins,7.349135713709284,9.692134873959354,12.07690503820374,16.095409680830457,19.1846846318365,5.0579629629629625,5.967864197530868,6.613979415712912,7.320711294466697,7.646813468144181,9.919999999999998,16.09555555555555,24.18666666666668,41.32444444444443,57.44444444444446,3.653333333333325,3.000000000000003,2.213333333333343,1.5306666666666517,1.0706666666666558
embedding_by_text-embedding-ada-002,5.2305031707417875,6.992424295889468,9.05268367378176,12.077060911815881,14.677520359835425,3.6253703703703706,4.290251322751327,4.8040558978536305,5.3032662617517214,5.564447391011523,7.000000000000001,11.773333333333332,18.755555555555564,31.455555555555573,45.15777777777779,2.6133333333333284,2.1599999999999944,1.7600000000000044,1.1919999999999908,0.8466666666666585
embedding_by_text-embedding-ada-002_with_eval_ins,5.306191730769106,7.125058217011717,8.774600678179414,12.083454914692163,14.842999880939377,3.771777777777779,4.454475308641981,4.863019338475998,5.374690482033685,5.648689585972894,7.068888888888889,11.78666666666666,17.44666666666666,31.735555555555568,46.1088888888889,2.4799999999999955,2.1333333333333284,1.5666666666666693,1.1599999999999906,0.8573333333333247
embedding_by_text-embedding-3-large,7.122559444317555,10.177105023397104,13.296138701637709,17.727810476946217,20.7218020512425,4.760814814814814,6.002798941798943,6.850167044456526,7.657160438745268,7.9931306449748,9.96888888888889,17.959999999999997,28.697777777777787,47.626666666666644,63.26666666666664,3.7333333333333254,3.3333333333333406,2.6133333333333475,1.7386666666666488,1.1613333333333202
embedding_by_text-embedding-3-large_with_eval_ins,9.850530484780737,11.388131969349017,14.111371776017805,17.735062433111086,20.56407182876038,7.032370370370372,7.622561728395067,8.356896207994515,8.984452667596583,9.276627056517519,13.068888888888885,17.18666666666666,26.315555555555566,42.04888888888886,56.911111111111126,4.746666666666659,3.1733333333333382,2.4533333333333456,1.5359999999999843,1.041333333333322
embedding_by_e5-mistral-7b-instruct,8.133464487497813,10.609852891331265,13.80131256135159,18.768723109982076,21.807334118835705,5.828111111111112,6.756074074074076,7.654673097656848,8.538049294079874,8.882673735388101,10.3,16.76888888888888,27.56222222222223,48.68000000000003,64.53777777777778,3.733333333333324,3.1333333333333386,2.5733333333333466,1.8399999999999819,1.2066666666666528
embedding_by_Dmeta-embedding,8.123801302877915,11.451796465252713,15.172342326024447,19.507634991620467,22.79294575656267,5.2851481481481475,6.634379188712528,7.684041881617231,8.469838929877016,8.838630060119659,12.039999999999996,21.066666666666674,33.65555555555557,52.10222222222221,69.49111111111112,4.346666666666658,3.693333333333345,3.0133333333333523,1.8986666666666467,1.2626666666666522
embedding_by_acge-large-zh,7.367567277453311,10.068898490160821,13.483906319573148,18.5719552621885,22.209750444259225,5.133037037037037,6.225639329806,7.141479318535318,8.02498459165288,8.425815792024482,10.679999999999998,17.808888888888884,29.43333333333336,51.4688888888889,70.47333333333339,3.4933333333333256,3.053333333333337,2.6066666666666793,1.8479999999999797,1.2786666666666513
embedding_by_gte-large-zh,7.329119455514789,10.18291878101369,13.550199240802096,17.88350366591851,21.377207279888616,5.155518518518518,6.3009241622574965,7.191124136536945,7.949893055440321,8.320921453263109,10.335555555555556,17.919999999999998,29.186666666666678,47.97999999999999,66.27333333333334,3.413333333333326,3.0400000000000063,2.6000000000000134,1.7253333333333158,1.2053333333333187
embedding_by_bge-large-zh-v1.5,8.942418875196461,11.572348459482976,14.125718053326645,17.864352029351878,20.886521962858648,6.046111111111115,7.056604938271611,7.78264851507474,8.446862014226388,8.759871832612228,12.277777777777777,19.160000000000004,27.686666666666678,43.82888888888887,59.90666666666666,4.586666666666661,3.6000000000000125,2.606666666666681,1.623999999999984,1.0986666666666545
embedding_by_gte-large-zh_manual_1K_no_ins_tuning,6.242078314964565,8.530329519778254,11.13180179914218,15.05059730125499,17.586011243748754,4.2912592592592596,5.171594356261025,5.906023684796649,6.594949776358981,6.8536974595335804,8.451111111111112,14.28666666666666,23.02444444444444,39.69333333333331,53.14666666666667,3.0933333333333266,2.760000000000002,2.1933333333333414,1.498666666666653,0.9906666666666564
embedding_by_bge-large-zh-v1.5_manual_1K_no_ins_tuning,7.4380698307991615,8.696132897755726,10.003152973726836,13.17753316804537,16.983537568760617,5.543518518518519,6.018712522045858,6.372840482626348,6.902579902063374,7.284303273853165,9.071111111111113,12.453333333333326,16.617777777777768,30.23777777777779,49.85777777777779,3.253333333333327,2.266666666666663,1.573333333333337,1.1333333333333253,0.9493333333333239
embedding_by_stella-large-zh-v2_manual_1K_no_ins_tuning,8.487751343237408,10.951579047883783,13.358640165668714,16.980375524117218,19.297633196684444,6.049444444444449,7.057328042328051,7.716531654849007,8.385538294966047,8.622529680555928,10.908888888888885,17.193333333333328,25.51555555555557,40.966666666666676,53.05555555555552,4.0266666666666575,3.240000000000007,2.3800000000000097,1.5226666666666524,0.9919999999999891
embedding_by_Baichuan2-7B-Chat_checkpoint-none,8.179749365173272,10.690440992196988,13.272731106237647,15.944767991968906,18.08091229116881,5.836074074074079,6.774507936507942,7.478169935661947,7.930767008068776,8.148441256538117,10.973333333333333,17.726666666666663,26.328888888888894,37.815555555555555,49.00000000000001,4.106666666666657,3.2533333333333405,2.4533333333333447,1.4079999999999866,0.9106666666666571
embedding_by_Baichuan2-7B-Chat_manual_1K_ins_0.2_2_1e-4_16_prompt0_#-以-上-内-容-的-总-结-#_checkpoint-final,11.974356886756162,14.675774214728177,17.213421389118654,22.09363711988149,25.501586894826087,8.69344444444445,9.795738977072316,10.502588088286757,11.410083871712077,11.78237834962454,15.22444444444444,22.664444444444456,31.20000000000001,52.19999999999999,69.91555555555556,5.520000000000004,3.9600000000000133,2.820000000000016,1.8799999999999808,1.2706666666666513
embedding_by_Baichuan2-7B-Chat_manual_1K_ins_0.0_2_1e-4_16_prompt0_#-以-上-内-容-的-总-结-#_checkpoint-final,12.067775874576919,14.431077790201064,17.048979449215526,21.619225126695135,24.886548234532174,8.810370370370375,9.774484126984136,10.523284874434522,11.347411745469804,11.698706951453342,15.475555555555548,21.826666666666675,30.606666666666673,50.52666666666668,67.52222222222221,5.520000000000004,3.8800000000000123,2.7866666666666817,1.8079999999999812,1.2253333333333187
