,ndcg_cut_5,ndcg_cut_10,ndcg_cut_20,ndcg_cut_50,ndcg_cut_100,map_cut_5,map_cut_10,map_cut_20,map_cut_50,map_cut_100,recall_5,recall_10,recall_20,recall_50,recall_100,P_5,P_10,P_20,P_50,P_100
bm25,3.3252486348148347,4.612207010355602,6.375387971292204,8.905381173840222,10.78086537689993,2.287592592592592,2.74808201058201,3.2021883206042143,3.5956522678081466,3.762016121013224,4.493333333333334,7.846666666666668,13.777777777777777,24.622222222222234,34.724444444444444,1.7066666666666654,1.5066666666666637,1.2999999999999996,0.9306666666666611,0.6359999999999945
embedding_by_voyage-lite-02-instruct,8.33472167652064,10.692331481254234,12.786916463302177,16.261784233266617,19.17630909652961,6.06851851851852,7.005280423280425,7.561646592657436,8.155444502615389,8.45918305491673,10.808888888888884,17.044444444444444,24.042222222222225,38.70666666666668,54.20444444444447,3.786666666666658,3.026666666666669,2.1866666666666745,1.4506666666666528,1.0013333333333228
embedding_by_voyage-lite-02-instruct_with_eval_ins,7.043346993768077,9.472951586503234,11.481673133006407,14.725454935620457,17.782774076717747,5.0431481481481475,5.947869488536158,6.4633367132809925,7.013803803932779,7.328618245897653,9.593333333333334,16.151111111111106,22.953333333333344,36.66666666666668,52.6377777777778,3.333333333333327,2.826666666666669,2.0466666666666744,1.3679999999999872,0.9839999999999899
embedding_by_text-embedding-ada-002,8.401966070101034,11.080524522018479,13.514031370712555,17.236469833100738,19.79455989082778,6.263444444444444,7.335439153439155,8.056725175733954,8.707723218506828,8.964076600143251,10.44,17.453333333333326,25.35555555555557,41.335555555555516,55.004444444444445,3.626666666666659,3.106666666666671,2.34000000000001,1.5226666666666524,1.0013333333333219
embedding_by_text-embedding-ada-002_with_eval_ins,7.677573521276228,10.079368336865796,12.35344593868393,15.564647505925473,17.736588658912066,5.474629629629631,6.41949647266314,7.019459674465359,7.573864331146587,7.791832674089331,10.608888888888886,16.94444444444444,24.417777777777786,38.06,49.533333333333346,3.6799999999999917,3.013333333333336,2.2400000000000095,1.4106666666666539,0.9133333333333237
embedding_by_text-embedding-3-large,7.59646966314831,10.220700474755372,12.735644733129423,16.874489139627627,19.842558408342878,5.081666666666669,6.065373015873018,6.786263361480865,7.522510794506217,7.833360283693779,11.008888888888885,17.94888888888889,26.304444444444457,44.31777777777776,59.98,3.9466666666666574,3.2800000000000074,2.446666666666678,1.6213333333333175,1.0933333333333213
embedding_by_text-embedding-3-large_with_eval_ins,9.425289107826732,11.392032253110687,13.477147775024182,16.517614526351863,19.18609306531338,6.853851851851858,7.594658730158735,8.169782743572222,8.667829598933503,8.942566831447314,12.435555555555553,17.568888888888885,24.55111111111112,37.80000000000001,51.8111111111111,4.426666666666658,3.1733333333333387,2.2466666666666764,1.375999999999987,0.94399999999999
embedding_by_e5-mistral-7b-instruct,8.326118234767607,11.916887530126116,15.125665527511591,19.506123849750878,21.917382265368882,5.861629629629632,7.24573985890653,8.118894336008388,8.949395405200859,9.222245384976384,10.762222222222217,20.11111111111111,31.07333333333335,50.04888888888888,62.637777777777764,4.053333333333324,3.8666666666666787,2.940000000000018,1.847999999999981,1.1573333333333202
embedding_by_UAE-Large-V1,6.508212757577306,8.372025380832602,11.046715663840711,15.070436461912648,18.18683921640478,4.491296296296299,5.1888747795414485,5.977247291914221,6.619766758404338,6.942499953672998,8.920000000000002,13.968888888888884,22.997777777777777,40.43999999999998,56.953333333333354,3.1999999999999926,2.4933333333333323,2.0800000000000067,1.466666666666652,1.0293333333333217
embedding_by_bge-large-en-v1.5,5.933414306787442,8.185553206763856,10.04895188845712,13.961533981225434,16.640015966475918,4.167925925925926,5.0576014109347485,5.563337923609863,6.2168169595240155,6.489387561071404,7.897777777777781,14.039999999999996,20.402222222222225,37.306666666666665,51.38222222222223,2.9066666666666605,2.466666666666665,1.813333333333339,1.335999999999988,0.9253333333333233
